Id,WnvPresent
1,0.0014597846
2,0.0014597846
3,0.0014597846
4,0.0014597846
5,0.0014597846
6,0.0014597846
7,0.0014597846
8,0.0014597846
9,0.0003663686
10,0.0003663686
11,0.0003663686
12,0.0003663686
13,0.0003663686
14,0.0003663686
15,0.0003663686
16,0.0003663686
17,0.0010183647
18,0.0010183647
19,0.0010183647
20,0.0010183647
21,0.0010183647
22,0.0010183647
23,0.0010183647
24,0.0010183647
25,0.0009475558
26,0.0009475558
27,0.0009475558
28,0.0009475558
29,0.0009475558
30,0.0009475558
31,0.0009475558
32,0.0009475558
33,0.0004796935
34,0.0004796935
35,0.0004796935
36,0.0004796935
37,0.0004796935
38,0.0004796935
39,0.0004796935
40,0.0004796935
41,0.001306816
42,0.001306816
43,0.001306816
44,0.001306816
45,0.001306816
46,0.001306816
47,0.001306816
48,0.001306816
49,0.000756385
50,0.000756385
51,0.000756385
52,0.000756385
53,0.000756385
54,0.000756385
55,0.000756385
56,0.000756385
57,0.0003081412
58,0.0003081412
59,0.0003081412
60,0.0003081412
61,0.0003081412
62,0.0003081412
63,0.0003081412
64,0.0003081412
65,0.0012255786
66,0.0012255786
67,0.0012255786
68,0.0012255786
69,0.0012255786
70,0.0012255786
71,0.0012255786
72,0.0012255786
73,0.0014345851
74,0.0014345851
75,0.0014345851
76,0.0014345851
77,0.0014345851
78,0.0014345851
79,0.0014345851
80,0.0014345851
81,0.0010238258
82,0.0010238258
83,0.0010238258
84,0.0010238258
85,0.0010238258
86,0.0010238258
87,0.0010238258
88,0.0010238258
89,0.0014079403
90,0.0014079403
91,0.0014079403
92,0.0014079403
93,0.0014079403
94,0.0014079403
95,0.0014079403
96,0.0014079403
97,0.0013175964
98,0.0013175964
99,0.0013175964
100,0.0013175964
101,0.0013175964
102,0.0013175964
103,0.0013175964
104,0.0013175964
105,0.00041303213
106,0.00041303213
107,0.00041303213
108,0.00041303213
109,0.00041303213
110,0.00041303213
111,0.00041303213
112,0.00041303213
113,0.0010262858
114,0.0010262858
115,0.0010262858
116,0.0010262858
117,0.0010262858
118,0.0010262858
119,0.0010262858
120,0.0010262858
121,0.0004446859
122,0.0004446859
123,0.0004446859
124,0.0004446859
125,0.0004446859
126,0.0004446859
127,0.0004446859
128,0.0004446859
129,0.0003457481
130,0.0003457481
131,0.0003457481
132,0.0003457481
133,0.0003457481
134,0.0003457481
135,0.0003457481
136,0.0003457481
137,0.001215601
138,0.001215601
139,0.001215601
140,0.001215601
141,0.001215601
142,0.001215601
143,0.001215601
144,0.001215601
145,0.001298961
146,0.001298961
147,0.001298961
148,0.001298961
149,0.001298961
150,0.001298961
151,0.001298961
152,0.001298961
153,0.0012936224
154,0.0012936224
155,0.0012936224
156,0.0012936224
157,0.0012936224
158,0.0012936224
159,0.0012936224
160,0.0012936224
161,0.0015012595
162,0.0015012595
163,0.0015012595
164,0.0015012595
165,0.0015012595
166,0.0015012595
167,0.0015012595
168,0.0015012595
169,0.00032348614
170,0.00032348614
171,0.00032348614
172,0.00032348614
173,0.00032348614
174,0.00032348614
175,0.00032348614
176,0.00032348614
177,0.0003225878
178,0.0003225878
179,0.0003225878
180,0.0003225878
181,0.0003225878
182,0.0003225878
183,0.0003225878
184,0.0003225878
185,0.0013661471
186,0.0013661471
187,0.0013661471
188,0.0013661471
189,0.0013661471
190,0.0013661471
191,0.0013661471
192,0.0013661471
193,0.001306816
194,0.001306816
195,0.001306816
196,0.001306816
197,0.001306816
198,0.001306816
199,0.001306816
200,0.001306816
201,0.0011302307
202,0.0011302307
203,0.0011302307
204,0.0011302307
205,0.0011302307
206,0.0011302307
207,0.0011302307
208,0.0011302307
209,0.00081478315
210,0.00081478315
211,0.00081478315
212,0.00081478315
213,0.00081478315
214,0.00081478315
215,0.00081478315
216,0.00081478315
217,0.001215601
218,0.001215601
219,0.001215601
220,0.001215601
221,0.001215601
222,0.001215601
223,0.001215601
224,0.001215601
225,0.00041303213
226,0.00041303213
227,0.00041303213
228,0.00041303213
229,0.00041303213
230,0.00041303213
231,0.00041303213
232,0.00041303213
233,0.0014616576
234,0.0014616576
235,0.0014616576
236,0.0014616576
237,0.0014616576
238,0.0014616576
239,0.0014616576
240,0.0014616576
241,0.0003225878
242,0.0003225878
243,0.0003225878
244,0.0003225878
245,0.0003225878
246,0.0003225878
247,0.0003225878
248,0.0003225878
249,0.00093147624
250,0.00093147624
251,0.00093147624
252,0.00093147624
253,0.00093147624
254,0.00093147624
255,0.00093147624
256,0.00093147624
257,0.0010137033
258,0.0010137033
259,0.0010137033
260,0.0010137033
261,0.0010137033
262,0.0010137033
263,0.0010137033
264,0.0010137033
265,0.0003225878
266,0.0003225878
267,0.0003225878
268,0.0003225878
269,0.0003225878
270,0.0003225878
271,0.0003225878
272,0.0003225878
273,0.00085533643
274,0.00085533643
275,0.00085533643
276,0.00085533643
277,0.00085533643
278,0.00085533643
279,0.00085533643
280,0.00085533643
281,0.0003663686
282,0.0003663686
283,0.0003663686
284,0.0003663686
285,0.0003663686
286,0.0003663686
287,0.0003663686
288,0.0003663686
289,0.0003663686
290,0.0003663686
291,0.0003663686
292,0.0003663686
293,0.0003663686
294,0.0003663686
295,0.0003663686
296,0.0003663686
297,0.0010851802
298,0.0010851802
299,0.0010851802
300,0.0010851802
301,0.0010851802
302,0.0010851802
303,0.0010851802
304,0.0010851802
305,0.0008186861
306,0.0008186861
307,0.0008186861
308,0.0008186861
309,0.0008186861
310,0.0008186861
311,0.0008186861
312,0.0008186861
313,0.0008816095
314,0.0008816095
315,0.0008816095
316,0.0008816095
317,0.0008816095
318,0.0008816095
319,0.0008816095
320,0.0008816095
321,0.0014616576
322,0.0014616576
323,0.0014616576
324,0.0014616576
325,0.0014616576
326,0.0014616576
327,0.0014616576
328,0.0014616576
329,0.00090387603
330,0.00090387603
331,0.00090387603
332,0.00090387603
333,0.00090387603
334,0.00090387603
335,0.00090387603
336,0.00090387603
337,0.00094055576
338,0.00094055576
339,0.00094055576
340,0.00094055576
341,0.00094055576
342,0.00094055576
343,0.00094055576
344,0.00094055576
345,0.0012827922
346,0.0012827922
347,0.0012827922
348,0.0012827922
349,0.0012827922
350,0.0012827922
351,0.0012827922
352,0.0012827922
353,0.0003225878
354,0.0003225878
355,0.0003225878
356,0.0003225878
357,0.0003225878
358,0.0003225878
359,0.0003225878
360,0.0003225878
361,0.0013319415
362,0.0013319415
363,0.0013319415
364,0.0013319415
365,0.0013319415
366,0.0013319415
367,0.0013319415
368,0.0013319415
369,0.00097059953
370,0.00097059953
371,0.00097059953
372,0.00097059953
373,0.00097059953
374,0.00097059953
375,0.00097059953
376,0.00097059953
377,0.001907791
378,0.001907791
379,0.001907791
380,0.001907791
381,0.001907791
382,0.001907791
383,0.001907791
384,0.001907791
385,0.0014566996
386,0.0014566996
387,0.0014566996
388,0.0014566996
389,0.0014566996
390,0.0014566996
391,0.0014566996
392,0.0014566996
393,0.00038087487
394,0.00038087487
395,0.00038087487
396,0.00038087487
397,0.00038087487
398,0.00038087487
399,0.00038087487
400,0.00038087487
401,0.00072789605
402,0.00072789605
403,0.00072789605
404,0.00072789605
